id;Idade;UF;Cidade;Cidade_1;Cidade_2;Cidade_3;Cidade_4;Cidade_5;Cidade_6;Cidade_7;Cidade_8;Cidade_9;Cidade_10;Cidade_11;Cidade_12;Cidade_13;Cidade_14;Cidade_15;Cidade_16;Cidade_17;Cidade_18;Cidade_19;Cidade_20;Cidade_21;Cidade_22;Cidade_23;Cidade_24;Cidade_25;Cidade_26;Bairro;Sexo;Profissão;Regime de Contratação;Meio de locomoção predominante;Quantas pessoas moram com você?;Qual a faixa etaria?;Quase la o/;Costuma assistir a Lives / Show online durante o trajeto?;Quantas horas em media você utiliza a internet por dia da semana (Seg a Sexta) ?;Quantas horas em media você utiliza a internet por dia (Finais de Semana e Feriado)?;Você tem assistido a lives?;Quais Redes sociais você utiliza?;Outros:;Qual você mais prefere para Live / Shows;Quantas lives / Shows por semana você assiste?;Só falta um;Qual a media de tempo das lives que você assiste?;Qual a duração das lives você acharia melhor ou Ideal?;Você interage durante as lives?;Qual conteudo de live você acha mais interessante?;Outros;Qual estilo musical?;Você assina algum serviço online?;Qual?;Outros_27;Novo Cenario;Oque você faria?;Fim :);Blank [narrative_40];Você pagaria para assistir a lives?;Qual seria um valor que você acharia justo pagar por uma live?;E se fosse um pacote mensal?;Column1
1;36;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Jardim Guarujá;Feminino;Analistas de sistemas;Clt;Metro;4;33 34 69 65;;Não;5;50;Sim;Facebook, Instagram, NetFlix, Youtube;;Youtube;2;;2;4;Sim;Famosos, Musicais;Religiosos Missas;Sertanejo;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;20;40;06/17/2020 13:29
2;33;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;São Salvador;Feminino;Analistas de sistemas;Clt;Carro;2;33, 61;;Não;8;8;Sim;Instagram, Youtube;;Instagram;3;;12;1;Não;Empreendedorismo, Alta performance, Saúde;N/A;N/A;Sim;NetFlix;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Sim;27;18;06/17/2020 12:48
3;28;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Parque mandaqui;Masculino;Analistas de sistemas;Clt;Motocicleta;2;"22;3";;Não;8;5;Sim;Instagram, Youtube;;Youtube;2;;3;6;Sim;Musicais;;Pagode;Sim;Youtube;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Sim;20;100;06/16/2020 22:23
4;33;SC;;;;;;;;;;;;;;;;;;;;;;;;Florianópolis;;;;Corrego Grande;Masculino;Engenheiros em computação - desenvolvedores de software;Outros;Ônibus;2;"0;30";;Não;15;10;Não;;;Youtube;0;;0;1;Não;Musicais;;Pop;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;10;29;06/16/2020 21:30
5;35;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Perdizes;Feminino;Psicólogos e psicanalistas;Autônomo;Carro;2;"8;40";;Sim;1;5;Sim;Instagram;;Instagram;1;;1;1;Não;Musicais, Humor;;Mpb;Não;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;20;35;06/16/2020 20:22
6;32;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Campo Belo;Masculino;Programadores de informática;Clt;Carro;1;30;;Não;16;16;Sim;Facebook, Instagram, LinkedIn, NetFlix, Twitter, Youtube;;Youtube;1;;2;1;Não;Musicais;;Sertanejo;Sim;Facebook, Instagram, LinkedIn, NetFlix, Twitter, Youtube;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Sim;20;30;06/16/2020 19:36
7;28;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Pinheiros;Feminino;Outros engenheiros, arquitetos e afins;Clt;A pé;2;"28;28";;Não;5;4;Não;;;Outros;0;;0;1;Não;Musicais;;Rock;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;0;06/16/2020 15:59
8;38;SP;;;;;;;;;;;;;;;;;;;;;;;;;;Santo André;;Erasmo Assunção;Masculino;Representantes comerciais e técnicos de vendas;Clt;Carro;3;34,4,0;;Não;18;18;Sim;Facebook, Instagram, LinkedIn, Youtube;;Youtube;3;;2;2;Sim;Musicais, Humor;;Sertanejo;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;0;06/16/2020 15:44
9;29;SP;;;;;;;;;;;;;;;;;;;;;;;;;;Taboão da Serra;;Pq Pinheiros;Masculino;Programadores de informática;Clt;Ônibus;2;3,30;;Não;8;40;Não;;;Youtube;1;;1;1;Sim;Musicais;;rock;Não;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;0;06/16/2020 12:58
10;45;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Tatuapé;Masculino;Engenheiros em computação - desenvolvedores de software;Clt;Metro;4;"45;44;19;16";;Não;6;4;Sim;Amazon Prime, Facebook, Instagram, LinkedIn, NetFlix, Twitter, Vimeo, Youtube;;Youtube;2;;1;1;Não;Musicais;;Rock;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;0;06/16/2020 12:58
